q0_0, q0_1, q0_2, q0_3, q0_4, q0_5, q0_6, q1_0, q1_1, q1_2, q1_3, q1_4, q1_5, q1_6, x, x_prec, y, y_prec, z, z_prec
1.01623, 0.390586, 0.128589, 0.404364, 0.156314, 0.507214, 0, 0.447663, 0.302143, 0.128589, 0.404364, 0.3332, 0.507214, 0, -0.00808078, 0.0215884, 0.186281, 0.0215884, -0.00728431, 0.0215884
-0.00945722, 0.38465, 0.128589, 0.404364, 0.168185, 0.507214, 0, 0.519053, 0.302437, 0.128589, 0.404364, 0.33261, 0.507214, 0, 0.00760118, 0.0193474, -0.11158, 0.0193474, 0.00469271, 0.0193474
0.10215, 0.367289, 0.128589, 0.404364, 0.202907, 0.507214, 0, 0.365767, 0.326282, 0.128589, 0.404364, 0.284921, 0.507214, 0, -0.0056823, 0.0162564, 0.00854535, 0.0162564, 0.0030828, 0.0162564
0.875938, 0.368763, 0.128589, 0.404364, 0.199959, 0.507214, 0, 0.304314, 0.279844, 0.128589, 0.404364, 0.377797, 0.507214, 0, -0.0066467, 0.0284708, 0.415695, 0.0284708, 0.000125004, 0.0284708
-0.0122522, 0.385085, 0.128589, 0.404364, 0.167315, 0.507214, 0, 0.55246, 0.297241, 0.128589, 0.404364, 0.343003, 0.507214, 0, -0.00669337, 0.0216111, -0.187035, 0.0216111, 0.00496743, 0.0216111
0.744259, 0.34828, 0.128589, 0.404364, 0.240926, 0.507214, 0, 0.561435, 0.31984, 0.128589, 0.404364, 0.297804, 0.507214, 0, 0.0009417, 0.0162553, -0.00850994, 0.0162553, -0.00491877, 0.0162553
0.903205, 0.373005, 0.128589, 0.404364, 0.191476, 0.507214, 0, 0.761953, 0.351032, 0.128589, 0.404364, 0.235421, 0.507214, 0, -0.000698601, 0.0160996, 0.0022822, 0.0160996, 0.00331997, 0.0160996
0.347585, 0.32911, 0.128589, 0.404364, 0.279265, 0.507214, 0, 0.78502, 0.261065, 0.128589, 0.404364, 0.415355, 0.507214, 0, -0.0239969, 0.0335338, -0.584461, 0.0335338, -0.203029, 0.0335338
0.216026, 0.349575, 0.128589, 0.404364, 0.238335, 0.507214, 0, 0.305033, 0.335729, 0.128589, 0.404364, 0.266026, 0.507214, 0, 1.31218e-05, 0.0162743, 0.00664505, 0.0162743, 0.00914306, 0.0162743
0.139041, 0.36155, 0.128589, 0.404364, 0.214384, 0.507214, 0, 0.515734, 0.302954, 0.128589, 0.404364, 0.331578, 0.507214, 0, 0.000687093, 0.0189546, -0.0984853, 0.0189546, 0.00107584, 0.0189546
0.343738, 0.329709, 0.128589, 0.404364, 0.278068, 0.507214, 0, 0.553511, 0.297077, 0.128589, 0.404364, 0.34333, 0.507214, 0, -0.00712102, 0.0217324, -0.191079, 0.0217324, -0.00764823, 0.0217324
0.973788, 0.383984, 0.128589, 0.404364, 0.169517, 0.507214, 0, 0.653442, 0.334153, 0.128589, 0.404364, 0.26918, 0.507214, 0, -0.00825493, 0.0162476, 0.00747781, 0.0162476, -0.00467817, 0.0162476
0.894843, 0.371704, 0.128589, 0.404364, 0.194077, 0.507214, 0, 0.781078, 0.354007, 0.128589, 0.404364, 0.229471, 0.507214, 0, -0.00575854, 0.0162194, 0.00731298, 0.0162194, 0.00222111, 0.0162194
